year,reason,arrivals
2019,Convention/conference,329660
2019,Business,675790
2019,Visiting friends/relatives,2845920
2019,Holiday,4475720
2019,Employment,215650
2019,Education,620420
2019,Other & not stated,302720
2020,Convention/conference,38050
2020,Business,120370
2020,Visiting friends/relatives,552510
2020,Holiday,789340
2020,Employment,67220
2020,Education,180260
2020,Other & not stated,79950
2021,Convention/conference,1920
2021,Business,20930
2021,Visiting friends/relatives,148010
2021,Holiday,21370
2021,Employment,22750
2021,Education,8400
2021,Other & not stated,22850
2022,Convention/conference,119830
2022,Business,267410
2022,Visiting friends/relatives,1767680
2022,Holiday,1056350
2022,Employment,149960
2022,Education,199880
2022,Other & not stated,133230
2023,Convention/conference,242550
2023,Business,445420
2023,Visiting friends/relatives,2628030
2023,Holiday,2885050
2023,Employment,287630
2023,Education,415240
2023,Other & not stated,283540
2024,Convention/conference,252910
2024,Business,470640
2024,Visiting friends/relatives,2809890
2024,Holiday,3607920
2024,Employment,327710
2024,Education,492230
2024,Other & not stated,309650
2025,Convention/conference,276530
2025,Business,486190
2025,Visiting friends/relatives,2955550
2025,Holiday,3976590
2025,Employment,363790
2025,Education,560140
2025,Other & not stated,318620
2026,Convention/conference,60990
2026,Business,125950
2026,Visiting friends/relatives,725160
2026,Holiday,1139420
2026,Employment,122750
2026,Education,219930
2026,Other & not stated,84700
